SYMBOL,source,source_id,module,component
UBA7,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBAC1,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBAP1,ORGDB_GOALL,GO:0006511,UPS,GO
UBAP1,ORGDB_GOALL,GO:0043162,UPS,GO
UBAP1,ORGDB_GOALL,GO:0043328,UPS,GO
UBAP1L,ORGDB_GOALL,GO:0006511,UPS,GO
UBAP1L,ORGDB_GOALL,GO:0043162,UPS,GO
UBB,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBB,MSIGDB_C2_CP:REACTOME,REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,UPS,REACTOME
UBB,MSIGDB_C2_CP:REACTOME,REACTOME_DEUBIQUITINATION,UPS,REACTOME
UBB,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBB,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBB,MSIGDB_C2_CP:REACTOME,REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION,UPS,REACTOME
UBB,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBB,MSIGDB_C2_CP:REACTOME,REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D,UPS,REACTOME
UBC,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBC,MSIGDB_C2_CP:REACTOME,REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,UPS,REACTOME
UBC,MSIGDB_C2_CP:REACTOME,REACTOME_DEUBIQUITINATION,UPS,REACTOME
UBC,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBC,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBC,MSIGDB_C2_CP:REACTOME,REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION,UPS,REACTOME
UBC,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBC,MSIGDB_C2_CP:REACTOME,REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D,UPS,REACTOME
UBD,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2A,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2A,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2A,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2A,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBE2A,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2A,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2B,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2B,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2B,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2B,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBE2B,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2B,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2C,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2C,ORGDB_GOALL,GO:0031145,UPS,GO
UBE2C,ORGDB_GOALL,GO:0031146,UPS,GO
UBE2C,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2C,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2C,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBE2C,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBE2D1,ORGDB_GOALL,GO:0006511,UPS,GO
UBE2D1,ORGDB_GOALL,GO:0043161,UPS,GO
UBE2D1,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBE2D1,MSIGDB_C2_CP:REACTOME,REACTOME_DEUBIQUITINATION,UPS,REACTOME
UBE2D1,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBE2D1,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
